Actual_Close,Predicted_Close,Signal,Portfolio_Value
0.46,4.5761046,1.0,1000.0
0.47,4.5761046,0.0,1000.0
0.48,4.5761046,0.0,1000.0
0.48,4.5761046,0.0,1000.0
0.47,4.5761046,0.0,1000.0
0.46,4.5761046,0.0,1000.0
0.47,4.5761046,0.0,1000.0
0.46,4.5761046,0.0,1000.0
0.46,4.5761046,0.0,1000.0
0.47,4.5761046,0.0,1000.0
0.44,4.5761046,0.0,1000.0
0.47,4.5761046,0.0,1000.0
0.49,4.5761046,0.0,1000.0
0.52,4.5761046,0.0,1000.0
0.51,4.5761046,0.0,1000.0
0.52,4.5761046,0.0,1000.0
0.52,4.5761046,0.0,1000.0
0.53,4.5761046,0.0,1000.0
0.51,4.5761046,0.0,1000.0
0.5,4.5761046,0.0,1000.0
0.52,4.5761046,0.0,1000.0
0.51,4.5761046,0.0,1000.0
0.5,4.5761046,0.0,1000.0
0.51,4.5761046,0.0,1000.0
0.51,4.5761046,0.0,1000.0
0.5,4.5761046,0.0,1000.0
0.5,4.5761046,0.0,1000.0
0.51,4.5761046,0.0,1000.0
0.49,4.5761046,0.0,1000.0
0.52,4.5761046,0.0,1000.0
0.51,4.5761046,0.0,1000.0
0.55,4.5761046,0.0,1000.0
0.53,4.5761046,0.0,1000.0
0.55,4.5761046,0.0,1000.0
0.52,4.5761046,0.0,1000.0
0.47,4.5761046,0.0,1000.0
0.44,4.5761046,0.0,1000.0
0.45,4.5761046,0.0,1000.0
0.42,4.5761046,0.0,1000.0
0.44,4.5761046,0.0,1000.0
0.42,4.5761046,0.0,1000.0
0.49,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.36,4.5761046,0.0,1000.0
0.36,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.36,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.42,4.5761046,0.0,1000.0
0.42,4.5761046,0.0,1000.0
0.43,4.5761046,0.0,1000.0
0.4,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.41,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.39,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.38,4.5761046,0.0,1000.0
0.37,4.5761046,0.0,1000.0
0.35,4.5761046,0.0,1000.0
0.35,4.5761046,0.0,1000.0
0.34,4.5761046,0.0,1000.0
0.34,4.5761046,0.0,1000.0
0.34,4.5761046,0.0,1000.0
0.34,4.5761046,0.0,1000.0
0.35,4.5761046,0.0,1000.0
0.35,4.5761046,0.0,1000.0
0.35,4.5761046,0.0,1000.0
0.34,4.5761046,0.0,1000.0
0.83,4.5761046,0.0,1000.0
0.84,4.5761046,0.0,1000.0
0.83,4.5761046,0.0,1000.0
0.86,4.5761046,0.0,1000.0
0.94,4.5761046,0.0,1000.0
0.92,4.5761046,0.0,1000.0
0.93,4.5761046,0.0,1000.0
0.91,4.5761046,0.0,1000.0
1.01,4.5761046,0.0,1000.0
0.96,4.5761046,0.0,1000.0
0.94,4.5761046,0.0,1000.0
0.87,4.5761046,0.0,1000.0
0.83,4.5761046,0.0,1000.0
0.83,4.5761046,0.0,1000.0
0.8,4.5761046,0.0,1000.0
0.81,4.5761046,0.0,1000.0
0.84,4.5761046,0.0,1000.0
0.82,4.5761046,0.0,1000.0
0.78,4.5761046,0.0,1000.0
0.85,4.5761046,0.0,1000.0
0.83,4.5761046,0.0,1000.0
0.83,4.5761046,0.0,1000.0
0.86,4.5761046,0.0,1000.0
0.86,4.5761046,0.0,1000.0
0.82,4.5761046,0.0,1000.0
0.82,4.5761046,0.0,1000.0
0.8,4.5761046,0.0,1000.0
0.83,4.5761046,0.0,1000.0
0.93,4.5761046,0.0,1000.0
0.98,4.5761046,0.0,1000.0
